Date,Closing Price (USD)
8/7/2014,583
8/8/2014,595
8/9/2014,585
8/10/2014,586
8/11/2014,588
8/12/2014,566
8/13/2014,565
8/14/2014,534
8/15/2014,511
8/16/2014,487
8/17/2014,516
8/18/2014,489
8/19/2014,455
8/20/2014,472
8/21/2014,519
8/22/2014,508
8/23/2014,507
8/24/2014,501
8/25/2014,503
8/26/2014,504
8/27/2014,513
8/28/2014,514
8/29/2014,506
8/30/2014,504
8/31/2014,502
9/1/2014,474
9/2/2014,477
9/3/2014,476
9/4/2014,475
9/5/2014,485
9/6/2014,480
9/7/2014,481
9/8/2014,473
9/9/2014,468
9/10/2014,474
9/11/2014,479
9/12/2014,473
9/13/2014,471
9/14/2014,475
9/15/2014,475
9/16/2014,471
9/17/2014,464
9/18/2014,449
9/19/2014,425
9/20/2014,410
9/21/2014,405
9/22/2014,399
9/23/2014,399
9/24/2014,427
9/25/2014,416
9/26/2014,410
9/27/2014,403
9/28/2014,398
9/29/2014,377
9/30/2014,376
10/1/2014,387
10/2/2014,381
10/3/2014,372
10/4/2014,360
10/5/2014,335
10/6/2014,308
10/7/2014,337
10/8/2014,326
10/9/2014,351
10/10/2014,368
10/11/2014,359
10/12/2014,356
10/13/2014,371
10/14/2014,392
10/15/2014,396
10/16/2014,392
10/17/2014,376
10/18/2014,378
10/19/2014,390
10/20/2014,381
10/21/2014,380
10/22/2014,382
10/23/2014,376
10/24/2014,351
10/25/2014,353
10/26/2014,345
10/27/2014,350
10/28/2014,349
10/29/2014,348
10/30/2014,335
10/31/2014,343
11/1/2014,338
11/2/2014,325
11/3/2014,331
11/4/2014,324
11/5/2014,332
11/6/2014,336
11/7/2014,346
11/8/2014,344
11/9/2014,343
11/10/2014,358
11/11/2014,368
11/12/2014,376
11/13/2014,442
11/14/2014,389
11/15/2014,394
11/16/2014,377
11/17/2014,400
11/18/2014,384
11/19/2014,375
11/20/2014,376
11/21/2014,348
11/22/2014,352
11/23/2014,356
11/24/2014,367
11/25/2014,381
11/26/2014,375
11/27/2014,372
11/28/2014,368
11/29/2014,375
11/30/2014,376
12/1/2014,376
12/2/2014,377
12/3/2014,382
12/4/2014,376
12/5/2014,368
12/6/2014,373
12/7/2014,373
12/8/2014,373
12/9/2014,357
12/10/2014,348
12/11/2014,341
12/12/2014,348
12/13/2014,346
12/14/2014,347
12/15/2014,348
12/16/2014,338
12/17/2014,330
12/18/2014,317
12/19/2014,306
12/20/2014,319
12/21/2014,321
12/22/2014,320
12/23/2014,328
12/24/2014,332
12/25/2014,321
12/26/2014,318
12/27/2014,320
12/28/2014,316
12/29/2014,315
12/30/2014,313
12/31/2014,309
1/1/2015,317
1/2/2015,314
1/3/2015,311
1/4/2015,277
1/5/2015,270
1/6/2015,272
1/7/2015,283
1/8/2015,290
1/9/2015,281
1/10/2015,286
1/11/2015,277
1/12/2015,268
1/13/2015,243
1/14/2015,219
1/15/2015,193
1/16/2015,220
1/17/2015,209
1/18/2015,195
1/19/2015,212
1/20/2015,211
